suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,n_infer_calls,infer_ms_mean
spatial,scene_0007,referential,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,,False,0.3639,,,,,plane,,,48,86.4
spatial,scene_0007,referential,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,,False,0.3654,,,,,plane,,,48,86.3
spatial,scene_0007,referential,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,,False,0.3271,,,,,plane,,,48,86.6
spatial,scene_0010,referential,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,False,,False,0.3549,,,,,plane,,,48,87.9
spatial,scene_0010,referential,text_only,pi05,tokens,1,False,,240,True,True,106,True,True,True,akita_black_bowl_3,True,plate_1,True,0.0137,,,,,plane,,,48,86.7
spatial,scene_0010,referential,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_1,False,,False,0.3684,,,,,plane,,,48,88.6
spatial,scene_0011,referential,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_3,True,plate_1,True,0.027,,,,,plane,,,48,87.4
spatial,scene_0011,referential,text_only,pi05,tokens,1,False,,240,True,True,111,True,True,True,akita_black_bowl_3,True,plate_1,True,0.0226,,,,,plane,,,48,87.7
spatial,scene_0011,referential,text_only,pi05,tokens,2,False,,240,True,True,122,True,True,True,akita_black_bowl_3,True,plate_1,True,0.0103,,,,,plane,,,48,87.7
spatial,scene_0013,referential,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0365,,,,,plane,,,48,87.7
